experiment_id,model_name,architecture,backend,status,dataset_subset,train_count,val_count,test_count,pretrained_checkpoint,epochs,batch_size,input_size,optimizer,learning_rate,device,started_at,finished_at,train_metric_name,train_metric_value,val_metric_name,val_metric_value,test_metric_name,test_metric_value,model_size_mb,inference_time_ms,output_dir,notes
EXP-TRAIN-001,yolo11n-pose,YOLO Pose,ultralytics,completed,coco_keypoints_subset_yolo_pose_500_100_100,500,100,100,yolo11n-pose.pt,5,8,640,AdamW,0.002,cuda:0 RTX 3060,,,,,pose_mAP50-95,0.173,,,6.0,4.1,runs/pose/outputs/models/yolo_pose/smoke_yolo_pose_coco_subset,manual user-run smoke fine-tuning; 5 epochs; resource-limited subset; final best model not selected
EXP-TRAIN-001B,yolo11n-pose,YOLO Pose,ultralytics,completed,coco_keypoints_subset_yolo_pose_5000_1000_1000,5000,1000,1000,yolo11n-pose.pt,30,8,640,auto,,cuda:0 RTX 3060,,,,,pose_mAP50-95,0.246,,,6.0,1.4,runs/pose/outputs/models/yolo_pose/extended_yolo_pose_coco_subset_5k,extended YOLO Pose run; 30 epochs; 5k subset; final best model not selected
EXP-TRAIN-002,rtmpose-s,RTMPose,mmpose,completed,coco_keypoints_subset_5k,5000,1000,1000,https://download.openmmlab.com/mmpose/v1/projects/rtmposev1/rtmpose-s_simcc-coco_pt-aic-coco_420e-256x192-8edcf0d7_20230127.pth,30,32,256x192,AdamW,0.004,cuda:0 RTX 3060,,,,,coco/AP,0.682306,,,43.7,,outputs/models/rtmpose,"manual user-run RTMPose-S MMPose fine-tuning; 30 epochs; best checkpoint outputs/models/rtmpose/best_coco_AP_epoch_30.pth; estimated duration about 24 minutes; speed not measured; final best model not selected"
EXP-TRAIN-003,hrnet-w32-udp,HRNet,mmpose,completed,coco_keypoints_subset_5k,5000,1000,1000,https://download.openmmlab.com/mmpose/v1/body_2d_keypoint/topdown_heatmap/coco/td-hm_hrnet-w32_udp-8xb64-210e_coco-256x192-73ede547_20220914.pth,30,,256x192,Adam,0.0005,cuda:0 RTX 3060,,,,,coco/AP,0.786985,,,109.9,,outputs/models/hrnet,"manual user-run HRNet-W32 UDP MMPose fine-tuning; final epoch 30 coco/AP 0.784195; best checkpoint outputs/models/hrnet/best_coco_AP_epoch_5.pth with coco/AP 0.786985; speed not measured; final best model not selected"
EXP-TRAIN-004,litehrnet-18,Lite-HRNet,mmpose,completed,coco_keypoints_subset_5k,5000,1000,1000,https://download.openmmlab.com/mmpose/top_down/litehrnet/litehrnet18_coco_256x192-6bace359_20211230.pth,30,64,256x192,Adam,0.0005,cuda:0 RTX 3060,,,,,coco/AP,0.663146,,,5.7,,outputs/models/litehrnet,"manual user-run Lite-HRNet-18 MMPose fine-tuning; 30 epochs; best checkpoint outputs/models/litehrnet/best_coco_AP_epoch_30.pth with coco/AP 0.663146; speed not measured; final best model not selected"
EXP-TRAIN-005,vitpose-small-simple,ViTPose,mmpose,completed,coco_keypoints_subset_5k,5000,1000,1000,https://download.openmmlab.com/mmpose/v1/body_2d_keypoint/topdown_heatmap/coco/td-hm_ViTPose-small-simple_8xb64-210e_coco-256x192-4c101a76_20230314.pth,30,16,256x192,AdamW,0.0005,cuda:0 RTX 3060,,,,,coco/AP,0.690507,,,86.7,,outputs/models/vitpose,"manual user-run ViTPose-Small Simple Head MMPose fine-tuning; 30 epochs; best checkpoint outputs/models/vitpose/best_coco_AP_epoch_30.pth with coco/AP 0.690507; mmpretrain resolved manually by user; speed not measured; final best model not selected"
